Account,date,daily_pnl,win_rate,avg_trade_size,trade_count,avg_leverage,long_short_ratio,classification,leverage_segment,activity_segment,consistency_segment,profit_flag
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1969.39321,0.12121212121212122,3782.839757575757,330,3782.839757575757,-0.2946428558274872,Greed,High,High,Inconsistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4648.8710550000005,0.0,284.5678402366864,338,284.5678402366864,0.0,Greed,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,0.0,0.0,1435.3307462686569,67,1435.3307462686569,0.0,Greed,Low,High,Inconsistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5179.772745,1.0,1221.0467469879518,83,1221.0467469879518,0.0,Greed,Low,High,Consistent,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1243.853569,0.324,815.50576,250,815.50576,0.0,Neutral,Low,High,Inconsistent,1
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,-1.0,0.0,6070.2,5,6070.2,-0.99999980000004,Neutral,High,Low,Inconsistent,0
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1584.342755,1.0,1584.35,1,1584.35,0.0,Extreme Greed,Low,Low,Consistent,1
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,208.81746,0.75,39530.9875,4,39530.9875,-0.9999997500000625,Extreme Greed,High,Low,Consistent,1
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,16706.884912,0.37641154328732745,6131.710464240904,797,6131.710464240904,-0.5508155576526781,Extreme Fear,High,High,Inconsistent,1
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,13264.043303999999,0.5575221238938053,21898.95651917404,339,21898.95651917404,-0.9999999970501475,Fear,High,High,Consistent,1
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5942.547242,0.12779552715654952,8678.024504792333,313,8678.024504792333,-0.9999999968051119,Fear,High,High,Inconsistent,1
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,8277.307357,0.49130938586326767,3079.8473348783314,863,3079.8473348783314,-0.9999999988317757,Fear,High,High,Inconsistent,1
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2638.012587,0.17280453257790368,1965.9329745042492,353,1965.9329745042492,-0.9999999971671388,Fear,High,High,Inconsistent,1
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-19037.340561,0.0,8110.89095959596,594,8110.89095959596,-0.9999999983164983,Neutral,High,High,Inconsistent,0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-108176.9187,0.14072494669509594,20030.785479744136,469,20030.785479744136,-0.9999999978678038,Greed,High,High,Inconsistent,0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,8157.112326,0.9428571428571428,15603.565285714287,70,15603.565285714287,-0.9999999850746272,Greed,High,High,Consistent,1
